baseline,seed,eval_step,eval_return,eval_std
avg,1,10000,-484.4511928332875,117.99383899865425
avg,1,20000,-238.65759950511725,111.90082829822052
avg,1,30000,-245.25512443814472,52.49998746419383
avg,1,40000,-574.796833001773,198.10473512397107
avg,1,50000,-313.664680540851,46.35050914710283
avg,1,60000,-372.87948667977105,64.44247476416871
avg,1,70000,-270.2566500228138,38.708892832465104
avg,1,80000,-194.05258420523174,66.25021711271837
avg,1,90000,-170.88236991310407,19.798140866380745
avg,1,100000,-134.9124823753113,14.699339711123196
avg,1,110000,-214.61858188783557,23.983876828456182
avg,1,120000,-138.9424564039992,17.187140013634117
avg,1,130000,-85.71451791958316,7.545230095054384
avg,1,140000,-60.763659432999916,18.36053621736355
avg,1,150000,-72.96631816956459,12.661259585205498
avg,1,160000,-107.51296573723452,14.293638489109812
avg,1,170000,-32.67958467436409,18.46244897376473
avg,1,180000,-25.459305846219117,27.87864940700406
avg,1,190000,-27.19411546854825,7.9036945100333735
avg,1,200000,-57.54882712259062,25.16174261718592
