baseline,seed,eval_step,eval_return,eval_std
gae,0,10000,-812.6207330655352,240.09536738330382
gae,0,20000,-353.92898843830164,13.235963257598982
gae,0,30000,-234.14184972779117,28.56738680712654
gae,0,40000,-217.62953875134394,27.461712760762016
gae,0,50000,-254.59800154259332,10.691528704885284
gae,0,60000,-367.05474195062914,36.669037328774955
gae,0,70000,-385.6807552555817,27.983971462386965
gae,0,80000,-238.68770147848736,22.877886963338526
gae,0,90000,-553.587126718951,56.052178983090975
gae,0,100000,-271.16242788381436,17.40793335576941
gae,0,110000,-199.20024964283502,26.942995278852045
gae,0,120000,-167.33012982913334,23.18330328572407
gae,0,130000,-222.844541904211,28.491175064617135
gae,0,140000,-213.44011501519503,19.91466383271349
gae,0,150000,-274.6482451646057,31.928321476559223
gae,0,160000,-308.2879715519566,28.204832323513987
gae,0,170000,-253.6766663998457,19.514407778670815
gae,0,180000,-213.83764764729221,31.564211356468928
gae,0,190000,-196.21430339923006,6.668003515111548
gae,0,200000,-215.8199937880212,19.92775465601299
