baseline,seed,eval_step,eval_return,eval_std
value,1,10000,-779.3158784827299,368.6061986399134
value,1,20000,-237.16472146860343,58.906594300065144
value,1,30000,-308.6028686841075,29.70610766312042
value,1,40000,-289.1487142261682,17.96702111807923
value,1,50000,-220.0892497721624,28.772489283742598
value,1,60000,-166.56142978131095,44.16897660509896
value,1,70000,-181.4413459927236,26.095189268884553
value,1,80000,-214.32419572465528,43.9394932445719
value,1,90000,-213.92196029592816,30.255933130256604
value,1,100000,-191.40959355218433,6.429746631690579
value,1,110000,-177.2912233579922,33.082847214249384
value,1,120000,-90.32515908895235,7.461523011743363
value,1,130000,-68.78806739091519,24.716484930668027
value,1,140000,-82.83912158948316,38.521246482814675
value,1,150000,-83.25185058014225,23.03930120434476
value,1,160000,-89.80682598355082,23.608247113680758
value,1,170000,-102.22374779750066,19.67475122346794
value,1,180000,-101.33126511202163,20.71478801086894
value,1,190000,-65.25093637016103,14.43668981343397
value,1,200000,-97.66991341747706,5.283646982510413
